match_id,league_code,date,home_elo,away_elo,elo_diff,home_form5_pts,away_form5_pts,form5_pts_diff,home_mom5,away_mom5,mom5_diff,home_adj_form5,away_adj_form5,adj_form5_diff,home_sos5,away_sos5,sos5_diff,home_ppg_vs_stronger8,away_ppg_vs_stronger8,ppg_vs_stronger8_diff,home_gp,away_gp,gp_diff
199118-1-bod-glimt,NO-TS,2025-03-21,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
199118-1-h-nefoss-bk,NO-TS,2025-03-23,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
199118-1-lsk-kvinner,NO-TS,2025-03-23,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
199118-1-sk-brann,NO-TS,2025-03-23,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
199118-1-v-lerenga-fotball,NO-TS,2025-03-23,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
199118-2-stab-k,NO-TS,2025-03-28,1514.0519682881234,1509.9480317118766,4.103936576246724,3.0,3.0,0.0,,,,0.5854986786718095,0.4145013213281905,0.17099735734361898,1500.0,1500.0,0.0,,,,1,1,0
199118-2-kolbotn-il-elite,NO-TS,2025-03-29,1490.0519682881234,1509.9480317118766,-19.896063423753276,0.0,3.0,-3.0,,,,-0.4145013213281905,0.4145013213281905,-0.829002642656381,1500.0,1500.0,0.0,,,,1,1,0
199118-2-lyn,NO-TS,2025-03-29,1490.0519682881234,1485.9480317118766,4.103936576246724,0.0,0.0,0.0,,,,-0.4145013213281905,-0.5854986786718095,0.17099735734361898,1500.0,1500.0,0.0,,,,1,1,0
199118-2-r-a-fotball-elite,NO-TS,2025-03-29,1490.0519682881234,1509.9480317118766,-19.896063423753276,0.0,3.0,-3.0,,,,-0.4145013213281905,0.4145013213281905,-0.829002642656381,1500.0,1500.0,0.0,,,,1,1,0
199118-2-rosenborg-bk,NO-TS,2025-03-29,1490.0519682881234,1509.9480317118766,-19.896063423753276,0.0,3.0,-3.0,,,,-0.4145013213281905,0.4145013213281905,-0.829002642656381,1500.0,1500.0,0.0,,,,1,1,0
