comparacion,metrica,esquema,delta,ci_lo,ci_hi,p_mejor,n_bloques
dc_best − g0_logistic_dppg,rps,iid,-0.0086,-0.0141,-0.0031,1.0,1619
dc_best − g0_logistic_dppg,rps,week,-0.0086,-0.0142,-0.003,0.999,20
dc_best − g0_logistic_dppg,rps,week_league,-0.0086,-0.0151,-0.0025,0.997,222
dc_best − g0_logistic_dppg,rps,moving4,-0.0086,-0.0141,-0.0052,1.0,20
dc_best − g0_logistic_dppg,log_loss,iid,-0.0236,-0.0419,-0.0056,0.995,1619
dc_best − g0_logistic_dppg,log_loss,week,-0.0236,-0.0417,-0.006,0.996,20
dc_best − g0_logistic_dppg,log_loss,week_league,-0.0236,-0.0447,-0.0037,0.991,222
dc_best − g0_logistic_dppg,log_loss,moving4,-0.0236,-0.0412,-0.0126,1.0,20
stack_cal − dc_best,rps,iid,-0.0007,-0.0015,0.0001,0.956,1619
stack_cal − dc_best,rps,week,-0.0007,-0.0014,0.0001,0.961,20
stack_cal − dc_best,rps,week_league,-0.0007,-0.0015,0.0001,0.96,222
stack_cal − dc_best,rps,moving4,-0.0007,-0.0013,0.0001,0.953,20
stack_cal − dc_best,log_loss,iid,-0.0067,-0.0119,-0.0017,0.995,1619
stack_cal − dc_best,log_loss,week,-0.0067,-0.012,-0.0009,0.988,20
stack_cal − dc_best,log_loss,week_league,-0.0067,-0.0119,-0.0015,0.992,222
stack_cal − dc_best,log_loss,moving4,-0.0067,-0.0113,-0.0012,0.99,20
jer_pais − dc_best,rps,iid,0.0055,0.0016,0.0093,0.001,1619
jer_pais − dc_best,rps,week,0.0055,0.0016,0.0091,0.003,20
jer_pais − dc_best,rps,week_league,0.0055,0.0018,0.0092,0.002,222
jer_pais − dc_best,rps,moving4,0.0055,0.0009,0.0096,0.013,20
jer_pais − dc_best,log_loss,iid,0.0121,-0.0005,0.0241,0.032,1619
jer_pais − dc_best,log_loss,week,0.0121,0.0008,0.0225,0.019,20
jer_pais − dc_best,log_loss,week_league,0.0121,-0.0001,0.0243,0.027,222
jer_pais − dc_best,log_loss,moving4,0.0121,-0.0012,0.0247,0.035,20
dc_best − b0_base_rate,rps,iid,-0.0238,-0.0306,-0.0169,1.0,1619
dc_best − b0_base_rate,rps,week,-0.0238,-0.0305,-0.0171,1.0,20
dc_best − b0_base_rate,rps,week_league,-0.0238,-0.0318,-0.0163,1.0,222
dc_best − b0_base_rate,rps,moving4,-0.0238,-0.0312,-0.0159,1.0,20
dc_best − b0_base_rate,log_loss,iid,-0.0626,-0.084,-0.0408,1.0,1619
dc_best − b0_base_rate,log_loss,week,-0.0626,-0.0857,-0.0413,1.0,20
dc_best − b0_base_rate,log_loss,week_league,-0.0626,-0.0869,-0.0394,1.0,222
dc_best − b0_base_rate,log_loss,moving4,-0.0626,-0.0888,-0.0407,1.0,20
