league_code,date,week,hg,ag,lam_h,lam_a
VL,2025-07-01,2025-06-30/2025-07-06,6,2,1.2341666219766168,0.8261574435958341
M2,2025-07-01,2025-06-30/2025-07-06,4,3,3.781045728924528,2.5149933919456298
M2,2025-07-01,2025-06-30/2025-07-06,4,1,2.068094996740846,1.7636650668473641
NO-PN1,2025-07-01,2025-06-30/2025-07-06,0,2,2.3522452284889024,1.6539626188765206
M1,2025-07-01,2025-06-30/2025-07-06,7,0,2.493512247127063,0.7636129943416871
M2,2025-07-02,2025-06-30/2025-07-06,2,3,1.4573308441496045,2.2265397719083877
M2,2025-07-02,2025-06-30/2025-07-06,2,1,3.551929583246789,0.6069866545995831
M2,2025-07-02,2025-06-30/2025-07-06,0,3,2.5743879842597446,2.083928105946717
VL,2025-07-02,2025-06-30/2025-07-06,2,1,3.88763999914961,0.910349020157169
VL,2025-07-02,2025-06-30/2025-07-06,0,0,2.9921922170619544,0.6763254618405236
M2,2025-07-02,2025-06-30/2025-07-06,3,1,3.164245079866885,0.9279122349365432
M2,2025-07-02,2025-06-30/2025-07-06,0,4,1.4370475595613073,4.002955968542339
M2,2025-07-02,2025-06-30/2025-07-06,5,1,2.786565888623126,1.8839070534579105
M2,2025-07-02,2025-06-30/2025-07-06,0,4,1.2558697642140073,3.10893022162837
M2,2025-07-02,2025-06-30/2025-07-06,1,1,1.3500807337901763,3.642644700156432
SW-ES,2025-07-02,2025-06-30/2025-07-06,2,0,1.2446607504352087,1.3063277056959386
VL,2025-07-02,2025-06-30/2025-07-06,2,3,2.2046086223299817,0.7379232791017083
VL,2025-07-02,2025-06-30/2025-07-06,1,2,1.8222210179585305,1.0388113852964593
M1,2025-07-02,2025-06-30/2025-07-06,0,4,3.58076710678402,0.9953029342515465
M1,2025-07-02,2025-06-30/2025-07-06,2,2,1.716249145623195,1.2916122845524494
M1,2025-07-02,2025-06-30/2025-07-06,1,1,3.3967052862659246,0.8715631055572163
M1,2025-07-02,2025-06-30/2025-07-06,2,0,1.6313633444165423,1.2211522172580749
M1L,2025-07-03,2025-06-30/2025-07-06,4,2,1.8858190894706734,5.123230670781023
M1L,2025-07-03,2025-06-30/2025-07-06,3,2,1.4960565089337354,0.6443637056905784
M2,2025-07-03,2025-06-30/2025-07-06,1,4,1.7442796588897347,1.40985467563313
M2,2025-07-03,2025-06-30/2025-07-06,1,1,2.020845103691012,0.8462486549082184
M1L,2025-07-04,2025-06-30/2025-07-06,4,3,1.5933277774343864,0.8685639591006178
VL,2025-07-04,2025-06-30/2025-07-06,2,2,0.8300273580023177,1.6093236346332058
M2,2025-07-04,2025-06-30/2025-07-06,1,5,1.4422738583029642,2.551781585860429
NL,2025-07-05,2025-06-30/2025-07-06,5,0,3.1301229062361533,1.3803318318353783
M1,2025-07-05,2025-06-30/2025-07-06,1,0,1.7759331707665253,1.3185510522620452
SW-AL,2025-07-05,2025-06-30/2025-07-06,1,0,2.048090584330246,0.4486904032231591
SW-AL,2025-07-05,2025-06-30/2025-07-06,0,0,0.8835035544320881,0.9475001385002703
VL,2025-07-05,2025-06-30/2025-07-06,1,1,1.5763163813283092,2.2197536365289294
VL,2025-07-05,2025-06-30/2025-07-06,0,2,1.2248666300844762,1.8566908048077015
NO-PN1,2025-07-05,2025-06-30/2025-07-06,4,4,1.4579701566969894,1.2260974028297593
SW-AL,2025-07-05,2025-06-30/2025-07-06,0,1,0.6696326530268931,1.9594980734873015
NL,2025-07-05,2025-06-30/2025-07-06,2,2,0.9940599875493495,1.0277337842805048
NO-PN1,2025-07-05,2025-06-30/2025-07-06,1,2,1.6401436235949605,1.2910171201701233
M2,2025-07-05,2025-06-30/2025-07-06,2,3,2.0053903365927224,1.5335178626208688
M2,2025-07-05,2025-06-30/2025-07-06,0,0,2.3900679749946265,1.9313827949199949
M2,2025-07-05,2025-06-30/2025-07-06,1,0,2.2999366178697334,1.7233089658714023
M1L,2025-07-05,2025-06-30/2025-07-06,2,2,1.7118590566984324,1.5105056939254784
NO-ELI,2025-07-05,2025-06-30/2025-07-06,1,1,1.5114563181195249,1.7731795846362406
NO-ELI,2025-07-05,2025-06-30/2025-07-06,1,0,4.622067110430777,0.897851118124283
NO-ELI,2025-07-05,2025-06-30/2025-07-06,1,1,1.1581502949097549,1.0542899316711178
NO-ELI,2025-07-05,2025-06-30/2025-07-06,1,1,1.0389977433888258,2.066334842275506
NO-ELI,2025-07-05,2025-06-30/2025-07-06,1,0,1.8264911646431379,1.097808982743786
NO-PN1,2025-07-05,2025-06-30/2025-07-06,1,0,1.2319008687903343,1.8581006050673528
NO-PN1,2025-07-05,2025-06-30/2025-07-06,1,0,2.046931071250198,1.4081027064824831
M1,2025-07-06,2025-06-30/2025-07-06,0,1,1.4434635521595123,1.4082068041479248
NL,2025-07-06,2025-06-30/2025-07-06,9,1,2.2849891206261965,0.5572090933937714
NL,2025-07-06,2025-06-30/2025-07-06,2,1,0.6951685597635215,1.3437879768206906
NO-PN1,2025-07-06,2025-06-30/2025-07-06,1,2,2.8010679872628437,1.8546958555669881
NO-PN1,2025-07-06,2025-06-30/2025-07-06,2,0,1.4846728301382417,0.8968297279830588
NO-ELI,2025-07-06,2025-06-30/2025-07-06,3,1,2.3553765458735505,0.327635942766507
NO-ELI,2025-07-06,2025-06-30/2025-07-06,1,1,2.052566343910806,1.4473755720931585
NO-ELI,2025-07-06,2025-06-30/2025-07-06,2,0,1.3841408133916813,1.0978998880892916
M1,2025-07-06,2025-06-30/2025-07-06,1,1,1.86810321444767,0.4806252945649587
M2,2025-07-06,2025-06-30/2025-07-06,4,0,3.67566618345577,0.9894826417217597
M2,2025-07-06,2025-06-30/2025-07-06,2,2,3.0552197662308416,0.905809684576559
VL,2025-07-06,2025-06-30/2025-07-06,1,1,1.512994058157534,1.141106432210387
M2,2025-07-06,2025-06-30/2025-07-06,3,3,1.2203462091826958,3.0296215997255658
