season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,14,4038044,2026-04-03,19:00:00,50775,Pallokerho-35,60495,Ekenäs Idrottsförening,4,2,2,1,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038045,2026-04-06,16:00:00,129811,Jippo,60676,Järvenpään Palloseura,0,0,0,0,Played,D
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038046,2026-04-06,16:00:00,60692,Helsingin Jalkapalloklubi,60487,Käpylän Pallo,1,2,0,2,Played,A
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038047,2026-04-06,16:00:00,168874,SJK Akatemia,60494,Mikkelin Palloilijat,1,0,1,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038049,2026-04-10,18:30:00,60972,FC KTP Kotka,60494,Mikkelin Palloilijat,1,0,0,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038048,2026-04-10,18:30:00,60676,Järvenpään Palloseura,60692,Helsingin Jalkapalloklubi,1,0,1,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038050,2026-04-10,19:00:00,60487,Käpylän Pallo,168874,SJK Akatemia,2,2,2,0,Played,D
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038052,2026-04-11,18:00:00,50775,Pallokerho-35,60561,Football Club Haka,0,0,0,0,Played,D
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,15,4038051,2026-04-11,18:30:00,60495,Ekenäs Idrottsförening,129811,Jippo,1,2,1,0,Played,A
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,16,4038053,2026-04-18,16:00:00,129811,Jippo,60972,FC KTP Kotka,0,0,0,0,Played,D
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,16,4038055,2026-04-19,16:00:00,60495,Ekenäs Idrottsförening,60692,Helsingin Jalkapalloklubi,2,1,0,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,16,4038054,2026-04-19,16:00:00,60494,Mikkelin Palloilijat,60487,Käpylän Pallo,0,1,0,1,Played,A
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,16,4038056,2026-04-19,18:00:00,168874,SJK Akatemia,50775,Pallokerho-35,0,1,0,1,Played,A
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,17,4038057,2026-04-21,18:30:00,60561,Football Club Haka,60676,Järvenpään Palloseura,5,0,1,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,17,4038059,2026-04-24,19:00:00,60692,Helsingin Jalkapalloklubi,60494,Mikkelin Palloilijat,0,1,0,1,Played,A
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,17,4038058,2026-04-24,19:00:00,50775,Pallokerho-35,60972,FC KTP Kotka,0,1,0,0,Played,A
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,17,4038060,2026-04-25,16:00:00,129811,Jippo,168874,SJK Akatemia,1,0,0,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,17,4038061,2026-04-25,16:00:00,60676,Järvenpään Palloseura,60495,Ekenäs Idrottsförening,3,0,2,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,17,4038062,2026-04-25,18:00:00,60561,Football Club Haka,60487,Käpylän Pallo,2,2,0,1,Played,D
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,18,4038065,2026-05-02,16:00:00,60692,Helsingin Jalkapalloklubi,168874,SJK Akatemia,1,1,0,0,Played,D
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,18,4038063,2026-05-02,16:00:00,60494,Mikkelin Palloilijat,60561,Football Club Haka,1,0,1,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,18,4038064,2026-05-02,16:00:00,60676,Järvenpään Palloseura,50775,Pallokerho-35,1,0,1,0,Played,H
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,18,4038066,2026-05-02,18:00:00,60487,Käpylän Pallo,129811,Jippo,0,2,0,2,Played,A
2026,M1L,Ykkösliiga (M2),spljp26,1,Ykkösliiga,18,4038067,2026-05-03,16:00:00,60495,Ekenäs Idrottsförening,60972,FC KTP Kotka,5,2,2,1,Played,H
