season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result,country
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-1-arna-bj-rnar,2026-03-21,13:00,arna-bj-rnar,Arna-Bjørnar,odds-ballklubb,Odds Ballklubb,1,0,,,Played,H,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-1-bryne,2026-03-21,14:00,bryne,Bryne,viking,Viking,0,4,,,Played,A,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-1-troms-il,2026-03-21,15:00,troms-il,Tromsø IL,frigg,Frigg,3,0,,,Played,H,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-1-grei,2026-03-21,16:00,grei,Grei,sane,Åsane,0,1,,,Played,A,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-1-fyllingsdalen,2026-03-22,13:00,fyllingsdalen,Fyllingsdalen,ik-start-kvinner,IK Start Kvinner,1,3,,,Played,A,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-1-klepp,2026-03-22,16:00,klepp,Klepp,kolbotn-il-elite,Kolbotn IL Elite,1,2,,,Played,A,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-2-ik-start-kvinner,2026-03-28,15:00,ik-start-kvinner,IK Start Kvinner,bryne,Bryne,2,0,,,Played,H,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-2-viking,2026-03-28,15:00,viking,Viking,arna-bj-rnar,Arna-Bjørnar,0,0,,,Played,D,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-2-sane,2026-03-28,15:00,sane,Åsane,klepp,Klepp,7,0,,,Played,H,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-2-frigg,2026-03-29,14:00,frigg,Frigg,grei,Grei,1,5,,,Played,A,NOR
2026,NO-1DK,1. divisjon Kvinner,206107,1,-,,206107-2-kolbotn-il-elite,2026-03-29,14:00,kolbotn-il-elite,Kolbotn IL Elite,fyllingsdalen,Fyllingsdalen,5,1,,,Played,H,NOR
