season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result,country
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-hamkam,2026-03-14,16:00,hamkam,HamKam,viking,Viking,2,1,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-molde,2026-03-14,18:00,molde,Molde,rosenborg,Rosenborg,2,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-kristiansund,2026-03-15,14:30,kristiansund,Kristiansund,brann,Brann,3,2,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-kfum,2026-03-15,17:00,kfum,KFUM,start,Start,2,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-v-lerenga,2026-03-15,17:00,v-lerenga,Vålerenga,sandefjord-fotball,Sandefjord Fotball,1,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-aalesund,2026-03-15,17:00,aalesund,Aalesund,lillestr-m,Lillestrøm,1,3,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-troms,2026-03-15,19:15,troms,Tromsø,fredrikstad,Fredrikstad,4,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-1-sarpsborg-08,2026-04-15,19:00,sarpsborg-08,Sarpsborg 08,bod-glimt,Bodø/Glimt,1,1,,,Played,D,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-2-start,2026-03-21,16:00,start,Start,aalesund,Aalesund,1,1,,,Played,D,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-2-viking,2026-03-21,18:00,viking,Viking,molde,Molde,4,1,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-2-rosenborg,2026-03-22,14:30,rosenborg,Rosenborg,v-lerenga,Vålerenga,0,2,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-2-brann,2026-03-22,17:00,brann,Brann,troms,Tromsø,1,2,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-2-fredrikstad,2026-03-22,17:00,fredrikstad,Fredrikstad,kfum,KFUM,3,1,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-2-sandefjord-fotball,2026-03-22,17:00,sandefjord-fotball,Sandefjord Fotball,sarpsborg-08,Sarpsborg 08,0,2,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-2-lillestr-m,2026-05-20,19:00,lillestr-m,Lillestrøm,kristiansund,Kristiansund,1,2,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-v-lerenga,2026-04-06,14:30,v-lerenga,Vålerenga,viking,Viking,0,1,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-hamkam,2026-04-06,17:00,hamkam,HamKam,brann,Brann,1,5,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-kristiansund,2026-04-06,17:00,kristiansund,Kristiansund,bod-glimt,Bodø/Glimt,0,3,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-molde,2026-04-06,17:00,molde,Molde,lillestr-m,Lillestrøm,0,1,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-sarpsborg-08,2026-04-06,17:00,sarpsborg-08,Sarpsborg 08,start,Start,1,1,,,Played,D,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-troms,2026-04-06,19:15,troms,Tromsø,rosenborg,Rosenborg,2,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-kfum,2026-04-07,19:00,kfum,KFUM,sandefjord-fotball,Sandefjord Fotball,1,2,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-3-aalesund,2026-04-07,19:00,aalesund,Aalesund,fredrikstad,Fredrikstad,2,3,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-lillestr-m,2026-04-11,14:00,lillestr-m,Lillestrøm,start,Start,3,1,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-troms,2026-04-11,16:00,troms,Tromsø,kristiansund,Kristiansund,2,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-viking,2026-04-11,18:00,viking,Viking,bod-glimt,Bodø/Glimt,5,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-rosenborg,2026-04-12,14:30,rosenborg,Rosenborg,sarpsborg-08,Sarpsborg 08,2,1,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-fredrikstad,2026-04-12,17:00,fredrikstad,Fredrikstad,v-lerenga,Vålerenga,1,1,,,Played,D,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-molde,2026-04-12,17:00,molde,Molde,hamkam,HamKam,4,1,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-aalesund,2026-04-12,17:00,aalesund,Aalesund,kfum,KFUM,2,2,,,Played,D,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-4-brann,2026-04-12,19:15,brann,Brann,sandefjord-fotball,Sandefjord Fotball,0,1,,,Played,A,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-5-bod-glimt,2026-04-18,14:00,bod-glimt,Bodø/Glimt,aalesund,Aalesund,3,0,,,Played,H,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-5-sandefjord-fotball,2026-04-18,16:00,sandefjord-fotball,Sandefjord Fotball,rosenborg,Rosenborg,0,0,,,Played,D,NOR
2026,NO-ELI,Eliteserien,206092,1,-,,206092-5-viking,2026-04-18,18:00,viking,Viking,brann,Brann,3,2,,,Played,H,NOR
