season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result,country
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-egersund,2025-03-31,19:00,egersund,Egersund,mj-ndalen,Mjøndalen,3,2,,,Played,H,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-kongsvinger,2025-03-31,19:00,kongsvinger,Kongsvinger,sane,Åsane,1,1,,,Played,D,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-odd,2025-03-31,19:00,odd,Odd,skeid,Skeid,2,1,,,Played,H,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-ranheim-tf,2025-03-31,19:00,ranheim-tf,Ranheim TF,lyn,Lyn,0,3,,,Played,A,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-stab-k,2025-03-31,19:00,stab-k,Stabæk,h-dd,Hødd,1,1,,,Played,D,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-start,2025-03-31,19:00,start,Start,sogndal,Sogndal,2,1,,,Played,H,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-aalesund,2025-03-31,19:00,aalesund,Aalesund,lillestr-m,Lillestrøm,2,2,,,Played,D,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-1-raufoss,2025-04-01,19:00,raufoss,Raufoss,moss,Moss,3,2,,,Played,H,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-h-dd,2025-04-05,16:00,h-dd,Hødd,kongsvinger,Kongsvinger,0,2,,,Played,A,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-lillestr-m,2025-04-05,16:00,lillestr-m,Lillestrøm,odd,Odd,1,0,,,Played,H,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-mj-ndalen,2025-04-05,16:00,mj-ndalen,Mjøndalen,raufoss,Raufoss,1,1,,,Played,D,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-moss,2025-04-05,16:00,moss,Moss,ranheim-tf,Ranheim TF,2,0,,,Played,H,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-skeid,2025-04-05,16:00,skeid,Skeid,start,Start,1,3,,,Played,A,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-sogndal,2025-04-05,16:00,sogndal,Sogndal,aalesund,Aalesund,3,4,,,Played,A,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-sane,2025-04-05,16:00,sane,Åsane,egersund,Egersund,0,2,,,Played,A,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-2-lyn,2025-04-06,17:00,lyn,Lyn,stab-k,Stabæk,0,1,,,Played,A,NOR
2025,NO-OBOS,OBOS-ligaen,199422,1,-,,199422-3-egersund,2025-04-21,17:00,egersund,Egersund,skeid,Skeid,4,3,,,Played,H,NOR
