season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result,country
2025,SW-EN,Ettan Norra,123861,1,-,,6155451,2025-11-09,15:00,athletic-eskilstuna,Athletic Eskilstuna,team-tg-ff,Team TG FF,1,0,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155452,2025-11-09,15:00,gefle-if-ff,Gefle IF FF,rebro-syrianska-if,Örebro Syrianska IF,3,3,,,Played,D,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155453,2025-11-09,15:00,if-karlstad-fotboll,IF Karlstad Fotboll,hammarby-tff-herrfotboll,Hammarby TFF Herrfotboll,1,2,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155454,2025-11-09,15:00,ifk-haninge,IFK Haninge,enk-pings-sk-fk,Enköpings SK FK,0,0,,,Played,D,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155455,2025-11-09,15:00,ifk-stocksund,IFK Stocksund,vasalund,Vasalund,1,7,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155456,2025-11-09,15:00,nordic-united-fc,Nordic United FC,fc-arlanda,FC Arlanda,3,2,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155457,2025-11-09,15:00,sollentuna-fk,Sollentuna FK,karlbergs-bk,Karlbergs BK,2,2,,,Played,D,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155458,2025-11-09,15:00,stockholm-internazionale,Stockholm Internazionale,assyriska-ff,Assyriska FF,0,1,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155446,2025-11-03,19:00,hammarby-tff-herrfotboll,Hammarby TFF Herrfotboll,ifk-stocksund,IFK Stocksund,4,1,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155443,2025-11-02,16:00,assyriska-ff,Assyriska FF,gefle-if-ff,Gefle IF FF,1,2,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155444,2025-11-02,16:00,enk-pings-sk-fk,Enköpings SK FK,stockholm-internazionale,Stockholm Internazionale,0,2,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155449,2025-11-02,16:00,vasalund,Vasalund,ifk-haninge,IFK Haninge,3,1,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155448,2025-11-02,15:00,team-tg-ff,Team TG FF,sollentuna-fk,Sollentuna FK,0,0,,,Played,D,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155445,2025-11-01,16:00,fc-arlanda,FC Arlanda,if-karlstad-fotboll,IF Karlstad Fotboll,3,5,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155447,2025-11-01,16:00,karlbergs-bk,Karlbergs BK,nordic-united-fc,Nordic United FC,1,4,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155450,2025-11-01,13:00,rebro-syrianska-if,Örebro Syrianska IF,athletic-eskilstuna,Athletic Eskilstuna,2,4,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155438,2025-10-26,16:00,ifk-haninge,IFK Haninge,team-tg-ff,Team TG FF,3,2,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155436,2025-10-26,13:00,fc-arlanda,FC Arlanda,vasalund,Vasalund,4,1,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155437,2025-10-26,13:00,gefle-if-ff,Gefle IF FF,hammarby-tff-herrfotboll,Hammarby TFF Herrfotboll,2,4,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155435,2025-10-25,16:00,athletic-eskilstuna,Athletic Eskilstuna,stockholm-internazionale,Stockholm Internazionale,0,3,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155440,2025-10-25,16:00,karlbergs-bk,Karlbergs BK,assyriska-ff,Assyriska FF,2,3,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155439,2025-10-25,13:00,ifk-stocksund,IFK Stocksund,enk-pings-sk-fk,Enköpings SK FK,2,3,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155441,2025-10-25,13:00,sollentuna-fk,Sollentuna FK,nordic-united-fc,Nordic United FC,3,3,,,Played,D,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155442,2025-10-24,19:00,rebro-syrianska-if,Örebro Syrianska IF,if-karlstad-fotboll,IF Karlstad Fotboll,1,2,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155429,2025-10-20,19:00,hammarby-tff-herrfotboll,Hammarby TFF Herrfotboll,karlbergs-bk,Karlbergs BK,1,1,,,Played,D,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155428,2025-10-19,16:00,enk-pings-sk-fk,Enköpings SK FK,fc-arlanda,FC Arlanda,1,3,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155431,2025-10-19,16:00,nordic-united-fc,Nordic United FC,ifk-haninge,IFK Haninge,6,0,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155434,2025-10-19,16:00,vasalund,Vasalund,athletic-eskilstuna,Athletic Eskilstuna,4,2,,,Played,H,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155433,2025-10-19,13:00,team-tg-ff,Team TG FF,rebro-syrianska-if,Örebro Syrianska IF,0,1,,,Played,A,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155430,2025-10-18,16:00,if-karlstad-fotboll,IF Karlstad Fotboll,sollentuna-fk,Sollentuna FK,1,1,,,Played,D,SWE
2025,SW-EN,Ettan Norra,123861,1,-,,6155432,2025-10-18,13:00,stockholm-internazionale,Stockholm Internazionale,gefle-if-ff,Gefle IF FF,2,0,,,Played,H,SWE
