season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result,country
2025,SW-SE,Superettan,123863,1,-,,6144750,2025-11-08,15:00,gif-sundsvall,GIF Sundsvall,rgryte-is-fotboll,Örgryte IS Fotboll,1,1,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144751,2025-11-08,15:00,ik-brage,IK Brage,landskrona-bois,Landskrona BoIS,4,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144752,2025-11-08,15:00,ik-oddevold,IK Oddevold,helsingborgs-if,Helsingborgs IF,1,4,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144753,2025-11-08,15:00,kalmar-ff,Kalmar FF,falkenbergs-ff,Falkenbergs FF,1,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144754,2025-11-08,15:00,sandvikens-if,Sandvikens IF,stersund,Östersund,5,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144755,2025-11-08,15:00,trelleborgs-ff,Trelleborgs FF,rebro,Örebro,1,1,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144756,2025-11-08,15:00,utsikten,Utsikten,ume-fc,Umeå FC,1,4,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144757,2025-11-08,15:00,v-ster-s-sk-fk,Västerås SK FK,varbergs-bois-fc,Varbergs BoIS FC,4,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144744,2025-11-03,19:00,landskrona-bois,Landskrona BoIS,ik-oddevold,IK Oddevold,2,2,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144747,2025-11-02,15:00,rebro,Örebro,utsikten,Utsikten,2,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144743,2025-11-01,15:00,helsingborgs-if,Helsingborgs IF,gif-sundsvall,GIF Sundsvall,1,1,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144745,2025-11-01,15:00,ume-fc,Umeå FC,sandvikens-if,Sandvikens IF,1,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144746,2025-11-01,15:00,varbergs-bois-fc,Varbergs BoIS FC,ik-brage,IK Brage,1,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144749,2025-11-01,15:00,stersund,Östersund,trelleborgs-ff,Trelleborgs FF,2,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144742,2025-11-01,13:00,falkenbergs-ff,Falkenbergs FF,v-ster-s-sk-fk,Västerås SK FK,0,1,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144748,2025-11-01,13:00,rgryte-is-fotboll,Örgryte IS Fotboll,kalmar-ff,Kalmar FF,0,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144740,2025-10-26,15:00,rebro,Örebro,landskrona-bois,Landskrona BoIS,1,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144738,2025-10-26,13:00,trelleborgs-ff,Trelleborgs FF,falkenbergs-ff,Falkenbergs FF,1,1,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144734,2025-10-25,15:00,gif-sundsvall,GIF Sundsvall,kalmar-ff,Kalmar FF,0,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144735,2025-10-25,15:00,ik-brage,IK Brage,helsingborgs-if,Helsingborgs IF,3,2,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144736,2025-10-25,15:00,ik-oddevold,IK Oddevold,stersund,Östersund,0,0,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144737,2025-10-25,15:00,sandvikens-if,Sandvikens IF,utsikten,Utsikten,3,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144739,2025-10-25,13:00,ume-fc,Umeå FC,varbergs-bois-fc,Varbergs BoIS FC,2,2,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144741,2025-10-24,19:00,rgryte-is-fotboll,Örgryte IS Fotboll,v-ster-s-sk-fk,Västerås SK FK,0,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144727,2025-10-19,15:00,helsingborgs-if,Helsingborgs IF,rebro,Örebro,3,2,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144729,2025-10-19,15:00,landskrona-bois,Landskrona BoIS,ume-fc,Umeå FC,1,3,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144730,2025-10-19,13:00,utsikten,Utsikten,trelleborgs-ff,Trelleborgs FF,3,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144726,2025-10-18,17:00,falkenbergs-ff,Falkenbergs FF,rgryte-is-fotboll,Örgryte IS Fotboll,3,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144728,2025-10-18,15:00,kalmar-ff,Kalmar FF,ik-oddevold,IK Oddevold,3,2,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144731,2025-10-18,15:00,varbergs-bois-fc,Varbergs BoIS FC,sandvikens-if,Sandvikens IF,0,0,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144733,2025-10-18,15:00,stersund,Östersund,ik-brage,IK Brage,1,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144732,2025-10-18,13:00,v-ster-s-sk-fk,Västerås SK FK,gif-sundsvall,GIF Sundsvall,2,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144720,2025-10-06,19:00,landskrona-bois,Landskrona BoIS,varbergs-bois-fc,Varbergs BoIS FC,2,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144721,2025-10-06,19:00,sandvikens-if,Sandvikens IF,rgryte-is-fotboll,Örgryte IS Fotboll,1,1,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144722,2025-10-05,15:00,trelleborgs-ff,Trelleborgs FF,gif-sundsvall,GIF Sundsvall,2,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144724,2025-10-05,15:00,rebro,Örebro,falkenbergs-ff,Falkenbergs FF,4,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144719,2025-10-05,13:00,ik-oddevold,IK Oddevold,utsikten,Utsikten,1,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144718,2025-10-04,15:00,ik-brage,IK Brage,kalmar-ff,Kalmar FF,1,3,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144723,2025-10-04,15:00,ume-fc,Umeå FC,helsingborgs-if,Helsingborgs IF,1,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144725,2025-10-04,13:00,stersund,Östersund,v-ster-s-sk-fk,Västerås SK FK,1,6,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144713,2025-09-30,19:00,kalmar-ff,Kalmar FF,rebro,Örebro,2,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144717,2025-09-30,19:00,rgryte-is-fotboll,Örgryte IS Fotboll,landskrona-bois,Landskrona BoIS,2,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144711,2025-09-29,19:00,gif-sundsvall,GIF Sundsvall,ume-fc,Umeå FC,3,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144712,2025-09-29,19:00,helsingborgs-if,Helsingborgs IF,trelleborgs-ff,Trelleborgs FF,4,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144714,2025-09-29,19:00,utsikten,Utsikten,ik-brage,IK Brage,2,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144710,2025-09-28,15:00,falkenbergs-ff,Falkenbergs FF,stersund,Östersund,4,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144716,2025-09-28,15:00,v-ster-s-sk-fk,Västerås SK FK,sandvikens-if,Sandvikens IF,3,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144715,2025-09-28,13:00,varbergs-bois-fc,Varbergs BoIS FC,ik-oddevold,IK Oddevold,1,1,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144705,2025-09-25,19:00,sandvikens-if,Sandvikens IF,helsingborgs-if,Helsingborgs IF,0,1,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144706,2025-09-25,19:00,trelleborgs-ff,Trelleborgs FF,rgryte-is-fotboll,Örgryte IS Fotboll,0,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144707,2025-09-25,19:00,ume-fc,Umeå FC,v-ster-s-sk-fk,Västerås SK FK,1,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144709,2025-09-25,19:00,stersund,Östersund,utsikten,Utsikten,2,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144702,2025-09-24,19:00,ik-brage,IK Brage,gif-sundsvall,GIF Sundsvall,0,1,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144703,2025-09-24,19:00,ik-oddevold,IK Oddevold,falkenbergs-ff,Falkenbergs FF,2,2,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144704,2025-09-24,19:00,landskrona-bois,Landskrona BoIS,kalmar-ff,Kalmar FF,0,0,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144708,2025-09-24,19:00,rebro,Örebro,varbergs-bois-fc,Varbergs BoIS FC,1,1,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144696,2025-09-20,15:00,ik-brage,IK Brage,rebro,Örebro,4,5,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144697,2025-09-20,15:00,kalmar-ff,Kalmar FF,sandvikens-if,Sandvikens IF,4,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144698,2025-09-20,15:00,utsikten,Utsikten,landskrona-bois,Landskrona BoIS,4,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144695,2025-09-20,13:00,helsingborgs-if,Helsingborgs IF,rgryte-is-fotboll,Örgryte IS Fotboll,0,1,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144699,2025-09-20,13:00,varbergs-bois-fc,Varbergs BoIS FC,trelleborgs-ff,Trelleborgs FF,3,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144694,2025-09-19,19:00,falkenbergs-ff,Falkenbergs FF,gif-sundsvall,GIF Sundsvall,3,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144700,2025-09-19,19:00,v-ster-s-sk-fk,Västerås SK FK,ik-oddevold,IK Oddevold,2,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144701,2025-09-19,19:00,stersund,Östersund,ume-fc,Umeå FC,3,0,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144688,2025-09-16,19:00,helsingborgs-if,Helsingborgs IF,landskrona-bois,Landskrona BoIS,0,0,,,Played,D,SWE
2025,SW-SE,Superettan,123863,1,-,,6144693,2025-09-15,19:00,rgryte-is-fotboll,Örgryte IS Fotboll,ume-fc,Umeå FC,3,1,,,Played,H,SWE
2025,SW-SE,Superettan,123863,1,-,,6144691,2025-09-14,15:00,trelleborgs-ff,Trelleborgs FF,sandvikens-if,Sandvikens IF,1,2,,,Played,A,SWE
2025,SW-SE,Superettan,123863,1,-,,6144690,2025-09-14,13:00,kalmar-ff,Kalmar FF,v-ster-s-sk-fk,Västerås SK FK,2,1,,,Played,H,SWE
