season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,14,4036852,2026-04-04,13:00:00,60987,Football Club International Turku,60901,Vaasan Palloseura,0,0,0,0,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,14,4036853,2026-04-04,15:00:00,60731,Helsingin Jalkapalloklubin Liiga-HJK,60970,SEINÄJOEN JALKAPALLOKERHO,3,0,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,14,4036854,2026-04-04,17:00:00,60759,IFK Mariehamn Fotboll,60971,TPS Juniorijalkapallo,1,1,1,0,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,14,4036855,2026-04-04,17:00:00,60745,Ilves,60756,Kuopion Palloseura,1,3,0,2,Played,A
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,14,4036856,2026-04-04,17:00:00,60974,Fotbollsföreningen JARO Jalkapalloseura,60969,FC Lahti,0,1,0,1,Played,A
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,14,4036857,2026-04-04,19:00:00,60534,IF Gnistan,60493,Oulun edustusjalkapallo AC Oulu,1,5,1,2,Played,A
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,15,4036858,2026-04-10,18:00:00,60971,TPS Juniorijalkapallo,60969,FC Lahti,2,1,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,15,4036859,2026-04-10,19:00:00,60970,SEINÄJOEN JALKAPALLOKERHO,60759,IFK Mariehamn Fotboll,3,0,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,15,4036860,2026-04-10,20:00:00,60901,Vaasan Palloseura,60974,Fotbollsföreningen JARO Jalkapalloseura,0,0,0,0,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,15,4036861,2026-04-11,14:00:00,60756,Kuopion Palloseura,60534,IF Gnistan,1,0,0,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,15,4036862,2026-04-11,17:00:00,60731,Helsingin Jalkapalloklubin Liiga-HJK,60493,Oulun edustusjalkapallo AC Oulu,0,1,0,1,Played,A
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,15,4036863,2026-04-11,19:00:00,60987,Football Club International Turku,60745,Ilves,2,1,0,1,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,16,4036864,2026-04-18,14:00:00,60534,IF Gnistan,60731,Helsingin Jalkapalloklubin Liiga-HJK,0,3,0,1,Played,A
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,16,4036865,2026-04-18,16:00:00,60974,Fotbollsföreningen JARO Jalkapalloseura,60756,Kuopion Palloseura,1,1,1,0,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,16,4036867,2026-04-18,17:00:00,60971,TPS Juniorijalkapallo,60970,SEINÄJOEN JALKAPALLOKERHO,2,0,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,16,4036866,2026-04-18,17:00:00,60969,FC Lahti,60987,Football Club International Turku,0,2,0,0,Played,A
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,16,4036868,2026-04-18,17:00:00,60493,Oulun edustusjalkapallo AC Oulu,60901,Vaasan Palloseura,1,0,0,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,16,4036869,2026-04-18,19:00:00,60759,IFK Mariehamn Fotboll,60745,Ilves,2,2,1,1,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,17,4036930,2026-04-22,18:00:00,60756,Kuopion Palloseura,60493,Oulun edustusjalkapallo AC Oulu,3,2,1,1,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,17,4036871,2026-04-24,18:00:00,60901,Vaasan Palloseura,60745,Ilves,3,2,3,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,17,4036870,2026-04-24,18:00:00,60971,TPS Juniorijalkapallo,60534,IF Gnistan,1,1,0,0,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,17,4036872,2026-04-24,19:00:00,60970,SEINÄJOEN JALKAPALLOKERHO,60974,Fotbollsföreningen JARO Jalkapalloseura,1,1,0,1,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,17,4036873,2026-04-25,15:00:00,60969,FC Lahti,60493,Oulun edustusjalkapallo AC Oulu,2,1,2,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,17,4036874,2026-04-25,17:00:00,60987,Football Club International Turku,60759,IFK Mariehamn Fotboll,1,0,0,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,17,4036875,2026-04-26,16:00:00,60756,Kuopion Palloseura,60731,Helsingin Jalkapalloklubin Liiga-HJK,1,1,1,0,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,18,4036931,2026-04-29,19:00:00,60987,Football Club International Turku,60731,Helsingin Jalkapalloklubin Liiga-HJK,1,1,1,1,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,18,4036876,2026-05-02,15:00:00,60970,SEINÄJOEN JALKAPALLOKERHO,60745,Ilves,1,1,0,1,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,18,4036878,2026-05-02,17:00:00,60759,IFK Mariehamn Fotboll,60901,Vaasan Palloseura,0,1,0,1,Played,A
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,18,4036877,2026-05-02,17:00:00,60974,Fotbollsföreningen JARO Jalkapalloseura,60971,TPS Juniorijalkapallo,2,2,1,1,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,18,4036879,2026-05-02,19:00:00,60493,Oulun edustusjalkapallo AC Oulu,60756,Kuopion Palloseura,2,0,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,19,4036880,2026-05-04,19:00:00,60731,Helsingin Jalkapalloklubin Liiga-HJK,60969,FC Lahti,1,0,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,19,4036881,2026-05-05,19:00:00,60534,IF Gnistan,60987,Football Club International Turku,2,0,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,19,4036883,2026-05-08,18:00:00,60971,TPS Juniorijalkapallo,60731,Helsingin Jalkapalloklubin Liiga-HJK,1,0,0,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,19,4036882,2026-05-08,18:00:00,60745,Ilves,60493,Oulun edustusjalkapallo AC Oulu,1,0,1,0,Played,H
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,19,4036884,2026-05-08,20:00:00,60756,Kuopion Palloseura,60970,SEINÄJOEN JALKAPALLOKERHO,0,0,0,0,Played,D
2026,VL,Veikkausliiga (M1),spljp26,1,Runkosarja,19,4036885,2026-05-09,15:00:00,60987,Football Club International Turku,60974,Fotbollsföreningen JARO Jalkapalloseura,2,0,2,0,Played,H
