season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result,country
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-str-msgodset,2025-03-29,16:00,str-msgodset,Strømsgodset,rosenborg,Rosenborg,1,2,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-fredrikstad,2025-03-29,18:00,fredrikstad,Fredrikstad,brann,Brann,3,0,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-v-lerenga,2025-03-30,14:30,v-lerenga,Vålerenga,viking,Viking,3,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-hamkam,2025-03-30,17:00,hamkam,HamKam,kristiansund,Kristiansund,2,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-kfum,2025-03-30,17:00,kfum,KFUM,sandefjord-fotball,Sandefjord Fotball,3,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-molde,2025-03-30,17:00,molde,Molde,sarpsborg-08,Sarpsborg 08,0,2,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-troms,2025-03-30,17:00,troms,Tromsø,haugesund,Haugesund,1,0,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-1-bryne,2025-03-30,19:15,bryne,Bryne,bod-glimt,Bodø/Glimt,0,1,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-bod-glimt,2025-04-05,16:00,bod-glimt,Bodø/Glimt,hamkam,HamKam,3,0,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-rosenborg,2025-04-05,18:00,rosenborg,Rosenborg,fredrikstad,Fredrikstad,1,0,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-brann,2025-04-06,14:30,brann,Brann,troms,Tromsø,3,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-haugesund,2025-04-06,17:00,haugesund,Haugesund,str-msgodset,Strømsgodset,0,5,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-kristiansund,2025-04-06,17:00,kristiansund,Kristiansund,bryne,Bryne,2,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-sandefjord-fotball,2025-04-06,17:00,sandefjord-fotball,Sandefjord Fotball,molde,Molde,3,0,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-sarpsborg-08,2025-04-06,17:00,sarpsborg-08,Sarpsborg 08,v-lerenga,Vålerenga,1,1,,,Played,D,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-2-viking,2025-04-06,19:15,viking,Viking,kfum,KFUM,3,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-troms,2025-04-20,14:30,troms,Tromsø,kristiansund,Kristiansund,2,3,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-v-lerenga,2025-04-21,14:30,v-lerenga,Vålerenga,rosenborg,Rosenborg,0,2,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-bryne,2025-04-21,17:00,bryne,Bryne,haugesund,Haugesund,3,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-fredrikstad,2025-04-21,17:00,fredrikstad,Fredrikstad,sandefjord-fotball,Sandefjord Fotball,3,1,,,Played,H,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-hamkam,2025-04-21,17:00,hamkam,HamKam,viking,Viking,2,5,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-kfum,2025-04-21,17:00,kfum,KFUM,sarpsborg-08,Sarpsborg 08,1,3,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-str-msgodset,2025-04-21,17:00,str-msgodset,Strømsgodset,brann,Brann,1,2,,,Played,A,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-3-molde,2025-04-21,19:15,molde,Molde,bod-glimt,Bodø/Glimt,2,2,,,Played,D,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-4-rosenborg,2025-04-27,14:30,rosenborg,Rosenborg,molde,Molde,0,0,,,Played,D,NOR
2025,NO-ELI,Eliteserien,199603,1,-,,199603-4-bod-glimt,2025-04-27,17:00,bod-glimt,Bodø/Glimt,kfum,KFUM,3,0,,,Played,H,NOR
