CATEGORY_ID | NAME | SEX | AGE_CATEGORY | SEASON_ID
--------------------------------------------------------------------------------
FWCQ | None | None | None | 2025-26
FWWCQ | None | None | None | 2025-26
FU19EC | None | None | None | 2025-26
FECQ | None | None | None | 2025-26
FWECQ | None | None | None | 2025-26
FU19ECQ | None | None | None | 2025-26
FMiehet-A | None | None | None | 2025-26
WCQ | None | None | None | 2026
FNaiset-A | None | None | None | 2025-26
WWCQ | None | None | None | 2026
FU19M | None | None | None | 2025-26
FWU19M | None | None | None | 2025-26
FNO | None | None | None | 2025-26
FU19O | None | None | None | 2025-26
FP15KT | None | None | None | 2025-26
FT15KT | None | None | None | 2025-26
FML | None | None | None | 2025-26
FMLkars | None | None | None | 2025-26
FNL | None | None | None | 2025-26
WEC | None | None | None | 2026
FNLkars | None | None | None | 2025-26
FM1 | None | None | None | 2025-26
FM1kars | None | None | None | 2025-26
FN1 | None | None | None | 2025-26
FP19L | None | None | None | 2025-26
FT19L | None | None | None | 2025-26
FP17L | None | None | None | 2025-26
FM2 | None | None | None | 2025-26
FM2 | None | None | None | 2025-26
FM2 | None | None | None | 2025-26
UNL | None | None | None | 2026
FM2 | None | None | None | 2025-26
WUNL | None | None | None | 2026
FM3 | None | None | None | 2025-26
FM3 | None | None | None | 2025-26
FM3 | None | None | None | 2025-26
FM3 | None | None | None | 2025-26
FM4 | None | None | None | 2025-26
FM4 | None | None | None | 2025-26
FM4 | None | None | None | 2025-26
FM5 | None | None | None | 2025-26
FM5 | None | None | None | 2025-26
FM6 | None | None | None | 2025-26
U21EC | None | None | None | 2026
FN2 | None | None | None | 2025-26
FN2 | None | None | None | 2025-26
FN2 | None | None | None | 2025-26
FN2 | None | None | None | 2025-26
FN3 | None | None | None | 2025-26
FN3 | None | None | None | 2025-26
WU17EC | None | None | None | 2026
FN4 | None | None | None | 2025-26
FN4 | None | None | None | 2025-26
FP201 | None | None | None | 2025-26
FP181 | None | None | None | 2025-26
FT181 | None | None | None | 2025-26
ECQ | None | None | None | 2026
FT181 | None | None | None | 2025-26
WECQ | None | None | None | 2026
U21ECQ | None | None | None | 2026
FT182 | None | None | None | 2025-26
FP171 | None | None | None | 2025-26
U19ECQ | None | None | None | 2026
WU19ECQ | None | None | None | 2026
FP171 | None | None | None | 2025-26
FP172 | None | None | None | 2025-26
U17ECQ | None | None | None | 2026
WU17ECQ | None | None | None | 2026
FT17L | None | None | None | 2025-26
FT171 | None | None | None | 2025-26
FP161 | None | None | None | 2025-26
FP162 | None | None | None | 2025-26
Miehet-A | None | None | None | 2026
FT161 | None | None | None | 2025-26
FP15SM | None | None | None | 2025-26
FP151 | None | None | None | 2025-26
